T0751 - loss: 0.05, correlation: 0.732235
T0699 - loss: 0.03, correlation: 0.955045
T0753 - loss: 0.06, correlation: 0.961761
T0752 - loss: 0.06, correlation: 0.922107
T0755 - loss: 0.00, correlation: 0.848152
T0754 - loss: 0.16, correlation: 0.726120
T0757 - loss: 0.05, correlation: 0.942436
T0756 - loss: 0.07, correlation: 0.581492
T0690 - loss: 0.05, correlation: 0.647488
T0691 - loss: 0.02, correlation: 0.771377
T0692 - loss: 0.01, correlation: 0.988094
T0693 - loss: 0.02, correlation: 0.915647
T0694 - loss: 0.03, correlation: 0.939935
T0696 - loss: 0.24, correlation: 0.666762
T0697 - loss: 0.03, correlation: 0.979869
T0434 - loss: 0.04, correlation: 0.944134
T0435 - loss: 0.02, correlation: 0.952895
T0436 - loss: 0.03, correlation: 0.933180
T0437 - loss: 0.06, correlation: 0.948655
T0539 - loss: 0.06, correlation: 0.913469
T0431 - loss: 0.03, correlation: 0.945006
T0432 - loss: 0.01, correlation: 0.964684
T0679 - loss: 0.01, correlation: 0.941453
T0391 - loss: 0.03, correlation: 0.948251
T0390 - loss: 0.00, correlation: 0.954197
T0393 - loss: 0.04, correlation: 0.906672
T0392 - loss: 0.02, correlation: 0.950192
T0395 - loss: 0.02, correlation: 0.939269
T0394 - loss: 0.06, correlation: 0.926266
T0397 - loss: 0.04, correlation: 0.900806
T0396 - loss: 0.02, correlation: 0.976770
T0399 - loss: 0.01, correlation: 0.912501
T0398 - loss: 0.09, correlation: 0.979646
T0829 - loss: 0.08, correlation: 0.826994
T0584 - loss: 0.01, correlation: 0.953808
T0585 - loss: 0.01, correlation: 0.934481
T0586 - loss: 0.02, correlation: 0.949069
T0580 - loss: 0.05, correlation: 0.943034
T0581 - loss: 0.00, correlation: 0.263789
T0582 - loss: 0.03, correlation: 0.888927
T0588 - loss: 0.01, correlation: 0.897024
T0589 - loss: 0.06, correlation: 0.937361
T0433 - loss: 0.01, correlation: 0.966194
average loss: 0.041520, average correlation: 0.885517
