T0751 - loss: 0.05, correlation: 0.734619
T0699 - loss: 0.03, correlation: 0.955370
T0753 - loss: 0.06, correlation: 0.977671
T0752 - loss: 0.06, correlation: 0.914718
T0755 - loss: 0.00, correlation: 0.881378
T0754 - loss: 0.16, correlation: 0.745806
T0757 - loss: 0.07, correlation: 0.944554
T0756 - loss: 0.07, correlation: 0.554368
T0690 - loss: 0.05, correlation: 0.689331
T0691 - loss: 0.02, correlation: 0.784245
T0692 - loss: 0.01, correlation: 0.987146
T0693 - loss: 0.02, correlation: 0.896803
T0694 - loss: 0.01, correlation: 0.933544
T0696 - loss: 0.24, correlation: 0.681203
T0697 - loss: 0.03, correlation: 0.979465
T0434 - loss: 0.04, correlation: 0.952616
T0435 - loss: 0.02, correlation: 0.961482
T0436 - loss: 0.03, correlation: 0.937456
T0437 - loss: 0.15, correlation: 0.928812
T0539 - loss: 0.06, correlation: 0.916718
T0431 - loss: 0.03, correlation: 0.946115
T0432 - loss: 0.01, correlation: 0.972269
T0679 - loss: 0.02, correlation: 0.948643
T0391 - loss: 0.03, correlation: 0.952254
T0390 - loss: 0.00, correlation: 0.935683
T0393 - loss: 0.04, correlation: 0.911944
T0392 - loss: 0.02, correlation: 0.956948
T0395 - loss: 0.02, correlation: 0.959357
T0394 - loss: 0.11, correlation: 0.932081
T0397 - loss: 0.04, correlation: 0.895438
T0396 - loss: 0.03, correlation: 0.977059
T0399 - loss: 0.01, correlation: 0.923194
T0398 - loss: 0.08, correlation: 0.980259
T0829 - loss: 0.08, correlation: 0.813611
T0584 - loss: 0.01, correlation: 0.969917
T0585 - loss: 0.01, correlation: 0.943263
T0586 - loss: 0.02, correlation: 0.956088
T0580 - loss: 0.06, correlation: 0.931745
T0581 - loss: 0.00, correlation: 0.540928
T0582 - loss: 0.03, correlation: 0.910307
T0588 - loss: 0.05, correlation: 0.917518
T0589 - loss: 0.06, correlation: 0.947005
T0433 - loss: 0.01, correlation: 0.965481
average loss: 0.045851, average correlation: 0.896382
