T0970 - loss: 0.00, correlation: 0.698684
T0955 - loss: 0.00, correlation: 0.914954
T0954 - loss: 0.00, correlation: 0.941330
T1015s2 - loss: 0.00, correlation: 0.943281
T0975 - loss: 0.02, correlation: 0.408445
T0953s2 - loss: 0.22, correlation: 0.597855
T0951 - loss: 0.01, correlation: 0.865818
T0950 - loss: 0.34, correlation: 0.761596
T1022s1 - loss: 0.00, correlation: 0.953203
T1015s1 - loss: 0.01, correlation: 0.205994
T0973 - loss: 0.21, correlation: 0.555998
T1022s2 - loss: 0.22, correlation: 0.876395
T0974s2 - loss: 0.03, correlation: 0.857894
T0959 - loss: 0.11, correlation: 0.890809
T0958 - loss: 0.18, correlation: 0.736415
T0979 - loss: 0.30, correlation: 0.298460
T0978 - loss: 0.03, correlation: 0.839691
T1017s1 - loss: 0.19, correlation: -0.793445
T1019s2 - loss: 0.08, correlation: 0.652124
T1019s1 - loss: 0.08, correlation: 0.546753
T0974s1 - loss: 0.03, correlation: 0.895545
T1011 - loss: 0.09, correlation: -0.663093
T1010 - loss: 0.01, correlation: 0.269064
T1013 - loss: 0.01, correlation: 0.933884
T1014 - loss: 0.11, correlation: 0.920882
T0961 - loss: 0.03, correlation: 0.942419
T1016 - loss: 0.02, correlation: 0.989313
T0986s1 - loss: 0.03, correlation: 0.720166
T0989 - loss: 0.01, correlation: 0.825748
T0986s2 - loss: 0.08, correlation: 0.634449
T0957s2 - loss: 0.02, correlation: 0.585786
T0957s1 - loss: 0.02, correlation: 0.643969
T0981 - loss: 0.01, correlation: 0.477571
T0980s1 - loss: 0.11, correlation: 0.743194
T0983 - loss: 0.00, correlation: 0.946459
T0984 - loss: 0.00, correlation: nan
T0985 - loss: 0.06, correlation: 0.946601
T0993s1 - loss: 0.00, correlation: 0.961556
T0987 - loss: 0.02, correlation: 0.528948
T0953s1 - loss: 0.03, correlation: 0.538328
T1018 - loss: 0.19, correlation: -0.932739
T0976 - loss: 0.07, correlation: 0.886468
T0949 - loss: 0.10, correlation: 0.828287
T0993s2 - loss: 0.03, correlation: 0.364304
T1020 - loss: 0.03, correlation: 0.878063
T0967 - loss: 0.01, correlation: 0.542679
T0964 - loss: 0.04, correlation: 0.924320
T0965 - loss: 0.06, correlation: 0.711974
T0962 - loss: 0.03, correlation: 0.845501
T0963 - loss: 0.00, correlation: 0.740004
T0960 - loss: 0.01, correlation: 0.663626
T0980s2 - loss: 0.02, correlation: 0.601568
T1021s2 - loss: 0.01, correlation: 0.837128
T1021s3 - loss: 0.09, correlation: 0.479502
T0982 - loss: 0.09, correlation: 0.857826
T0969 - loss: 0.16, correlation: 0.463893
T0966 - loss: 0.00, correlation: 0.829389
T1008 - loss: 0.14, correlation: 0.738721
T1009 - loss: 0.03, correlation: 0.953508
T0968s1 - loss: 0.04, correlation: 0.894104
T1003 - loss: 0.06, correlation: 0.975094
T1000 - loss: 0.01, correlation: 0.955422
T1001 - loss: 0.02, correlation: 0.396161
T1006 - loss: 0.08, correlation: 0.666844
T0977 - loss: 0.07, correlation: 0.957338
T1004 - loss: 0.03, correlation: 0.826951
T1005 - loss: 0.13, correlation: 0.790940
T1002 - loss: 0.07, correlation: 0.706605
T0968s2 - loss: 0.30, correlation: 0.422997
T1017s2 - loss: 0.02, correlation: 0.305616
T0998 - loss: 0.07, correlation: 0.603326
T0997 - loss: 0.03, correlation: 0.788162
T0971 - loss: 0.08, correlation: 0.586626
T0995 - loss: 0.08, correlation: 0.972111
T0992 - loss: 0.08, correlation: 0.718649
T0991 - loss: 0.12, correlation: 0.605262
T0990 - loss: 0.01, correlation: 0.589388
average loss: 0.066502, average correlation: nan
