T0722 - loss: 0.00, correlation: 0.890021
T0688 - loss: 0.04, correlation: 0.982597
T0470 - loss: 0.00, correlation: 0.994802
T0471 - loss: 0.17, correlation: 0.941005
T0472 - loss: 0.00, correlation: 0.892010
T0473 - loss: 0.08, correlation: 0.978519
T0474 - loss: 0.13, correlation: 0.853932
T0475 - loss: 0.04, correlation: 0.991021
T0476 - loss: 0.11, correlation: 0.465372
T0477 - loss: 0.02, correlation: 0.997291
T0478 - loss: 0.04, correlation: 0.914432
T0479 - loss: 0.06, correlation: 0.987395
T0729 - loss: 0.00, correlation: 0.983430
T0579 - loss: 0.00, correlation: 0.890479
T0578 - loss: 0.01, correlation: 0.766668
T0674 - loss: 0.01, correlation: 0.380164
T0675 - loss: 0.06, correlation: 0.632364
T0672 - loss: 0.00, correlation: 0.809359
T0673 - loss: 0.14, correlation: 0.459095
T0671 - loss: 0.00, correlation: 0.183853
T0571 - loss: 0.00, correlation: 0.799569
T0570 - loss: 0.02, correlation: 0.818067
T0573 - loss: 0.01, correlation: 0.701982
T0572 - loss: 0.11, correlation: 0.700303
T0575 - loss: 0.04, correlation: 0.642367
T0574 - loss: 0.00, correlation: 0.892591
T0678 - loss: 0.06, correlation: 0.861935
T0576 - loss: 0.00, correlation: 0.679958
T0405 - loss: 0.02, correlation: 0.783565
T0404 - loss: 0.00, correlation: 0.990119
T0407 - loss: 0.01, correlation: 0.982775
T0406 - loss: 0.01, correlation: 0.992581
T0401 - loss: 0.02, correlation: 0.969157
T0400 - loss: 0.02, correlation: 0.982743
T0402 - loss: 0.03, correlation: 0.991804
T0409 - loss: 0.01, correlation: 0.964546
T0408 - loss: 0.00, correlation: 0.981718
T0449 - loss: 0.00, correlation: 0.986596
T0774 - loss: 0.02, correlation: 0.920855
T0448 - loss: 0.01, correlation: 0.965196
T0708 - loss: 0.04, correlation: 0.968002
T0709 - loss: 0.05, correlation: 0.933371
T0706 - loss: 0.00, correlation: 0.916319
T0707 - loss: 0.01, correlation: 0.596300
T0704 - loss: 0.00, correlation: 0.882562
T0705 - loss: 0.06, correlation: -0.091355
T0702 - loss: 0.03, correlation: 0.463008
T0703 - loss: 0.01, correlation: 0.890044
T0700 - loss: 0.20, correlation: 0.702125
T0701 - loss: 0.01, correlation: 0.889402
T0447 - loss: 0.01, correlation: 0.984889
T0446 - loss: 0.04, correlation: 0.884832
T0598 - loss: 0.00, correlation: 0.868546
T0676 - loss: 0.00, correlation: 0.828676
T0677 - loss: 0.06, correlation: 0.882621
T0638 - loss: 0.00, correlation: 0.906500
T0639 - loss: 0.06, correlation: 0.175299
T0632 - loss: 0.01, correlation: 0.600597
T0630 - loss: 0.00, correlation: 0.942987
T0636 - loss: 0.01, correlation: 0.938917
T0637 - loss: 0.06, correlation: 0.587506
T0634 - loss: 0.01, correlation: 0.530947
T0635 - loss: 0.00, correlation: 0.735413
T0543 - loss: 0.02, correlation: 0.927352
T0526 - loss: 0.02, correlation: 0.785759
T0527 - loss: 0.00, correlation: 0.544752
T0524 - loss: 0.00, correlation: 0.790401
T0525 - loss: 0.03, correlation: 0.756103
T0522 - loss: 0.01, correlation: 0.787142
T0523 - loss: 0.05, correlation: 0.304390
T0520 - loss: 0.00, correlation: 0.555517
T0521 - loss: 0.00, correlation: 0.498859
T0441 - loss: 0.00, correlation: 0.991550
T0440 - loss: 0.03, correlation: 0.974291
T0443 - loss: 0.04, correlation: 0.864460
T0442 - loss: 0.00, correlation: 0.976724
T0445 - loss: 0.06, correlation: 0.994354
T0444 - loss: 0.06, correlation: 0.990660
T0528 - loss: 0.01, correlation: 0.882559
T0529 - loss: 0.09, correlation: -0.018304
T0820 - loss: 0.02, correlation: 0.343534
T0786 - loss: 0.00, correlation: 0.940154
T0787 - loss: 0.03, correlation: 0.405236
T0783 - loss: 0.00, correlation: 0.941364
T0612 - loss: 0.05, correlation: 0.898863
T0742 - loss: 0.00, correlation: 0.634050
T0743 - loss: 0.00, correlation: 0.676177
T0740 - loss: 0.02, correlation: 0.372197
T0741 - loss: 0.01, correlation: 0.131129
T0746 - loss: 0.02, correlation: 0.875244
T0747 - loss: 0.06, correlation: 0.904610
T0744 - loss: 0.12, correlation: 0.699475
T0745 - loss: 0.00, correlation: 0.811148
T0749 - loss: 0.01, correlation: 0.569356
T0618 - loss: 0.06, correlation: 0.424351
T0788 - loss: 0.00, correlation: 0.982769
T0592 - loss: 0.01, correlation: 0.900856
T0789 - loss: 0.00, correlation: 0.354201
T0830 - loss: 0.08, correlation: 0.810242
T0831 - loss: 0.02, correlation: 0.740202
T0832 - loss: 0.00, correlation: 0.598739
T0833 - loss: 0.00, correlation: 0.951008
T0834 - loss: 0.00, correlation: 0.852174
T0387 - loss: 0.01, correlation: 0.990631
T0836 - loss: 0.00, correlation: 0.746748
T0837 - loss: 0.00, correlation: 0.778176
T0838 - loss: 0.01, correlation: 0.802575
T0388 - loss: 0.04, correlation: 0.973236
T0389 - loss: 0.01, correlation: 0.984307
T0845 - loss: 0.00, correlation: 0.879418
T0847 - loss: 0.00, correlation: 0.973394
T0841 - loss: 0.00, correlation: 0.995029
T0840 - loss: 0.01, correlation: 0.943256
T0843 - loss: 0.01, correlation: 0.995462
T0849 - loss: 0.00, correlation: 0.962272
T0848 - loss: 0.00, correlation: 0.954449
T0489 - loss: 0.02, correlation: 0.897615
T0488 - loss: 0.00, correlation: 0.986208
T0485 - loss: 0.02, correlation: 0.988354
T0487 - loss: 0.01, correlation: 0.726523
T0486 - loss: 0.06, correlation: 0.976294
T0481 - loss: 0.01, correlation: 0.993942
T0480 - loss: 0.02, correlation: 0.883267
T0483 - loss: 0.01, correlation: 0.979964
T0482 - loss: 0.00, correlation: 0.858360
T0643 - loss: 0.14, correlation: 0.122317
T0641 - loss: 0.01, correlation: 0.729848
T0640 - loss: 0.00, correlation: 0.725015
T0645 - loss: 0.00, correlation: -0.320640
T0644 - loss: 0.01, correlation: 0.853557
T0562 - loss: 0.01, correlation: 0.900760
T0563 - loss: 0.02, correlation: 0.840968
T0560 - loss: 0.04, correlation: 0.950087
T0561 - loss: 0.11, correlation: 0.794668
T0566 - loss: 0.00, correlation: 0.920916
T0567 - loss: 0.03, correlation: 0.989400
T0564 - loss: 0.01, correlation: 0.943825
T0565 - loss: 0.01, correlation: 0.820461
T0416 - loss: 0.01, correlation: 0.960530
T0417 - loss: 0.00, correlation: 0.987836
T0414 - loss: 0.04, correlation: 0.963632
T0415 - loss: 0.03, correlation: 0.986735
T0412 - loss: 0.00, correlation: 0.996215
T0413 - loss: 0.05, correlation: 0.955389
T0410 - loss: 0.00, correlation: 0.560840
T0411 - loss: 0.07, correlation: 0.986703
T0418 - loss: 0.02, correlation: 0.998455
T0419 - loss: 0.00, correlation: 0.971587
T0738 - loss: 0.03, correlation: 0.882422
T0733 - loss: 0.01, correlation: 0.955310
T0732 - loss: 0.02, correlation: 0.769158
T0731 - loss: 0.02, correlation: 0.926202
T0737 - loss: 0.00, correlation: 0.354257
T0736 - loss: 0.00, correlation: 0.981477
T0735 - loss: 0.00, correlation: 0.348530
T0734 - loss: 0.00, correlation: 0.946267
T0531 - loss: 0.13, correlation: 0.199641
T0808 - loss: 0.02, correlation: 0.470665
T0801 - loss: 0.01, correlation: 0.996186
T0800 - loss: 0.00, correlation: 0.931982
T0803 - loss: 0.01, correlation: 0.828074
T0805 - loss: 0.03, correlation: 0.967219
T0807 - loss: 0.03, correlation: 0.988299
T0806 - loss: 0.00, correlation: 0.821059
T0607 - loss: 0.02, correlation: 0.399380
T0606 - loss: 0.01, correlation: 0.865605
T0605 - loss: 0.00, correlation: 0.912483
T0604 - loss: 0.02, correlation: 0.612048
T0603 - loss: 0.02, correlation: 0.673692
T0602 - loss: 0.02, correlation: 0.916480
T0601 - loss: 0.02, correlation: 0.715910
T0600 - loss: 0.03, correlation: 0.957282
T0430 - loss: 0.03, correlation: 0.881926
T0609 - loss: 0.00, correlation: 0.874070
T0608 - loss: 0.00, correlation: 0.568381
T0513 - loss: 0.00, correlation: 0.990999
T0512 - loss: 0.07, correlation: 0.979133
T0511 - loss: 0.01, correlation: 0.997800
T0459 - loss: 0.04, correlation: 0.979645
T0517 - loss: 0.00, correlation: 0.310622
T0516 - loss: 0.01, correlation: 0.476887
T0515 - loss: 0.00, correlation: 0.559076
T0514 - loss: 0.01, correlation: 0.936412
T0452 - loss: 0.11, correlation: 0.985804
T0453 - loss: 0.01, correlation: 0.984089
T0450 - loss: 0.00, correlation: 0.499822
T0518 - loss: 0.03, correlation: 0.609664
T0456 - loss: 0.00, correlation: 0.991773
T0457 - loss: 0.00, correlation: 0.974627
T0454 - loss: 0.01, correlation: 0.989913
T0455 - loss: 0.02, correlation: 0.991705
T0551 - loss: 0.25, correlation: 0.564565
T0499 - loss: 0.01, correlation: 0.949545
T0501 - loss: 0.03, correlation: 0.565020
T0508 - loss: 0.02, correlation: 0.996198
T0490 - loss: 0.07, correlation: 0.983856
T0778 - loss: 0.00, correlation: 0.991512
T0777 - loss: 0.00, correlation: 0.720527
T0776 - loss: 0.01, correlation: 0.993102
T0491 - loss: 0.01, correlation: 0.983161
T0773 - loss: 0.01, correlation: 0.915173
T0772 - loss: 0.02, correlation: 0.959693
T0771 - loss: 0.00, correlation: 0.783601
T0770 - loss: 0.03, correlation: 0.961903
T0791 - loss: 0.00, correlation: 0.860413
T0790 - loss: 0.02, correlation: 0.705955
T0538 - loss: 0.00, correlation: 0.960414
T0798 - loss: 0.00, correlation: 0.990321
T0856 - loss: 0.00, correlation: 0.980226
T0857 - loss: 0.00, correlation: 0.783842
T0854 - loss: 0.00, correlation: 0.994562
T0855 - loss: 0.00, correlation: 0.853832
T0852 - loss: 0.01, correlation: 0.926831
T0853 - loss: 0.00, correlation: 0.460316
T0851 - loss: 0.02, correlation: 0.978440
T0858 - loss: 0.03, correlation: 0.992306
T0557 - loss: 0.01, correlation: 0.987623
T0555 - loss: 0.00, correlation: 0.769592
T0553 - loss: 0.00, correlation: 0.733439
T0552 - loss: 0.06, correlation: 0.751095
T0498 - loss: 0.09, correlation: -0.610367
T0550 - loss: 0.02, correlation: 0.616522
T0496 - loss: 0.01, correlation: 0.785191
T0497 - loss: 0.04, correlation: 0.990344
T0494 - loss: 0.05, correlation: 0.971793
T0495 - loss: 0.01, correlation: 0.964511
T0492 - loss: 0.10, correlation: 0.982783
T0493 - loss: 0.00, correlation: 0.992322
T0559 - loss: 0.03, correlation: 0.963319
T0558 - loss: 0.01, correlation: 0.899077
T0794 - loss: 0.00, correlation: 0.915672
T0797 - loss: 0.03, correlation: 0.771113
T0796 - loss: 0.08, correlation: 0.943624
T0658 - loss: 0.00, correlation: 0.867632
T0659 - loss: 0.03, correlation: 0.929975
T0792 - loss: 0.00, correlation: 0.950087
T0654 - loss: 0.00, correlation: 0.965190
T0655 - loss: 0.05, correlation: 0.931673
T0657 - loss: 0.01, correlation: 0.953952
T0650 - loss: 0.12, correlation: 0.606811
T0651 - loss: 0.03, correlation: 0.589322
T0652 - loss: 0.14, correlation: 0.232129
T0653 - loss: 0.04, correlation: -0.027677
T0423 - loss: 0.01, correlation: 0.995356
T0422 - loss: 0.11, correlation: 0.988988
T0421 - loss: 0.00, correlation: 0.976907
T0420 - loss: 0.06, correlation: 0.969558
T0427 - loss: 0.01, correlation: 0.982464
T0426 - loss: 0.00, correlation: 0.986576
T0425 - loss: 0.01, correlation: 0.990924
T0424 - loss: 0.02, correlation: 0.982327
T0429 - loss: 0.00, correlation: 0.901213
T0428 - loss: 0.03, correlation: 0.987060
T0724 - loss: 0.03, correlation: 0.542853
T0726 - loss: 0.00, correlation: 0.983830
T0727 - loss: 0.02, correlation: 0.964127
T0720 - loss: 0.00, correlation: 0.888328
T0721 - loss: 0.07, correlation: 0.874010
T0689 - loss: 0.00, correlation: 0.707822
T0723 - loss: 0.00, correlation: 0.983792
T0687 - loss: 0.06, correlation: 0.882061
T0686 - loss: 0.03, correlation: 0.396076
T0685 - loss: 0.03, correlation: 0.940779
T0684 - loss: 0.00, correlation: 0.709130
T0683 - loss: 0.00, correlation: 0.555160
T0682 - loss: 0.04, correlation: 0.919582
T0681 - loss: 0.02, correlation: 0.554310
T0680 - loss: 0.00, correlation: 0.829393
T0698 - loss: 0.02, correlation: 0.946503
T0750 - loss: 0.00, correlation: 0.969809
T0759 - loss: 0.00, correlation: 0.798852
T0818 - loss: 0.01, correlation: 0.802107
T0819 - loss: 0.03, correlation: 0.981353
T0758 - loss: 0.00, correlation: 0.979391
T0812 - loss: 0.00, correlation: 0.928714
T0813 - loss: 0.00, correlation: 0.984005
T0810 - loss: 0.00, correlation: 0.953692
T0811 - loss: 0.00, correlation: 0.995188
T0816 - loss: 0.07, correlation: 0.733485
T0817 - loss: 0.05, correlation: 0.970967
T0814 - loss: 0.00, correlation: 0.745806
T0815 - loss: 0.03, correlation: 0.993489
T0610 - loss: 0.00, correlation: 0.719244
T0611 - loss: 0.05, correlation: 0.840909
T0599 - loss: 0.01, correlation: 0.644418
T0613 - loss: 0.01, correlation: 0.889792
T0614 - loss: 0.00, correlation: 0.925762
T0615 - loss: 0.00, correlation: 0.908638
T0616 - loss: 0.04, correlation: 0.795232
T0617 - loss: 0.00, correlation: 0.980196
T0593 - loss: 0.00, correlation: 0.966661
T0619 - loss: 0.01, correlation: 0.963754
T0591 - loss: 0.01, correlation: 0.553603
T0590 - loss: 0.01, correlation: 0.967828
T0597 - loss: 0.00, correlation: 0.660592
T0596 - loss: 0.05, correlation: 0.893568
T0594 - loss: 0.00, correlation: 0.607502
T0466 - loss: 0.03, correlation: 0.878942
T0465 - loss: 0.00, correlation: 0.850133
T0464 - loss: 0.13, correlation: 0.928838
T0463 - loss: 0.00, correlation: 0.991006
T0462 - loss: 0.14, correlation: 0.917120
T0461 - loss: 0.00, correlation: 0.996801
T0460 - loss: 0.00, correlation: 0.780651
