T0722 - loss: 0.00, correlation: 0.875890
T0688 - loss: 0.04, correlation: 0.983639
T0431 - loss: 0.01, correlation: 0.966180
T0470 - loss: 0.00, correlation: 0.996330
T0471 - loss: 0.15, correlation: 0.947689
T0472 - loss: 0.00, correlation: 0.867876
T0473 - loss: 0.11, correlation: 0.976078
T0474 - loss: 0.13, correlation: 0.836726
T0475 - loss: 0.07, correlation: 0.987960
T0476 - loss: 0.08, correlation: 0.255455
T0477 - loss: 0.02, correlation: 0.993870
T0478 - loss: 0.04, correlation: 0.875453
T0479 - loss: 0.06, correlation: 0.985869
T0729 - loss: 0.01, correlation: 0.982285
T0579 - loss: 0.00, correlation: 0.864973
T0578 - loss: 0.02, correlation: 0.703195
T0674 - loss: 0.00, correlation: 0.456050
T0675 - loss: 0.08, correlation: 0.637471
T0672 - loss: 0.00, correlation: 0.856250
T0673 - loss: 0.14, correlation: 0.475989
T0671 - loss: 0.11, correlation: -0.074672
T0571 - loss: 0.00, correlation: 0.878240
T0570 - loss: 0.02, correlation: 0.815772
T0573 - loss: 0.01, correlation: 0.612162
T0572 - loss: 0.02, correlation: 0.631360
T0575 - loss: 0.04, correlation: 0.510802
T0574 - loss: 0.00, correlation: 0.864133
T0678 - loss: 0.02, correlation: 0.835543
T0576 - loss: 0.21, correlation: 0.733495
T0405 - loss: 0.02, correlation: 0.763854
T0404 - loss: 0.00, correlation: 0.987075
T0407 - loss: 0.01, correlation: 0.988904
T0406 - loss: 0.01, correlation: 0.989472
T0401 - loss: 0.02, correlation: 0.970674
T0400 - loss: 0.02, correlation: 0.975225
T0402 - loss: 0.03, correlation: 0.989724
T0409 - loss: 0.01, correlation: 0.962484
T0408 - loss: 0.00, correlation: 0.981599
T0648 - loss: 0.00, correlation: 0.958836
T0449 - loss: 0.00, correlation: 0.988464
T0448 - loss: 0.01, correlation: 0.966487
T0708 - loss: 0.04, correlation: 0.954503
T0709 - loss: 0.05, correlation: 0.934853
T0706 - loss: 0.01, correlation: 0.895423
T0707 - loss: 0.01, correlation: 0.952327
T0704 - loss: 0.00, correlation: 0.855051
T0705 - loss: 0.03, correlation: 0.606742
T0702 - loss: 0.06, correlation: 0.375628
T0703 - loss: 0.01, correlation: 0.896480
T0700 - loss: 0.00, correlation: 0.605119
T0701 - loss: 0.01, correlation: 0.928290
T0447 - loss: 0.00, correlation: 0.986331
T0529 - loss: 0.10, correlation: -0.097098
T0676 - loss: 0.00, correlation: 0.886309
T0677 - loss: 0.00, correlation: 0.915473
T0638 - loss: 0.03, correlation: 0.880128
T0639 - loss: 0.06, correlation: 0.115601
T0632 - loss: 0.01, correlation: 0.564646
T0630 - loss: 0.00, correlation: 0.961432
T0636 - loss: 0.01, correlation: 0.909513
T0637 - loss: 0.06, correlation: 0.737039
T0634 - loss: 0.01, correlation: 0.315347
T0635 - loss: 0.00, correlation: 0.662828
T0526 - loss: 0.02, correlation: 0.827178
T0527 - loss: 0.01, correlation: 0.479045
T0524 - loss: 0.00, correlation: 0.852114
T0525 - loss: 0.03, correlation: 0.751775
T0522 - loss: 0.01, correlation: 0.806283
T0523 - loss: 0.03, correlation: 0.614836
T0520 - loss: 0.00, correlation: 0.528528
T0521 - loss: 0.02, correlation: 0.388721
T0441 - loss: 0.00, correlation: 0.986063
T0440 - loss: 0.03, correlation: 0.968929
T0443 - loss: 0.04, correlation: 0.742127
T0442 - loss: 0.00, correlation: 0.963727
T0445 - loss: 0.00, correlation: 0.994105
T0444 - loss: 0.06, correlation: 0.979663
T0528 - loss: 0.01, correlation: 0.872642
T0446 - loss: 0.04, correlation: 0.914353
T0629 - loss: 0.02, correlation: 0.298025
T0628 - loss: 0.00, correlation: 0.659922
T0599 - loss: 0.01, correlation: 0.733542
T0742 - loss: 0.00, correlation: 0.881234
T0743 - loss: 0.00, correlation: 0.773818
T0740 - loss: 0.02, correlation: 0.780296
T0598 - loss: 0.00, correlation: 0.861083
T0746 - loss: 0.00, correlation: 0.850586
T0747 - loss: 0.05, correlation: 0.927755
T0744 - loss: 0.12, correlation: 0.778571
T0745 - loss: 0.00, correlation: 0.892718
T0749 - loss: 0.01, correlation: 0.519977
T0618 - loss: 0.06, correlation: 0.436799
T0627 - loss: 0.00, correlation: 0.851256
T0619 - loss: 0.01, correlation: 0.956534
T0626 - loss: 0.02, correlation: 0.851143
T0830 - loss: 0.02, correlation: 0.849150
T0831 - loss: 0.02, correlation: 0.761735
T0832 - loss: 0.00, correlation: 0.591492
T0833 - loss: 0.06, correlation: 0.954217
