T0970 - loss: 0.68, correlation: 0.227881
T0955 - loss: 0.00, correlation: 0.877399
T0954 - loss: 0.00, correlation: 0.750230
T1015s2 - loss: 0.06, correlation: -0.805037
T0975 - loss: 0.00, correlation: 0.886828
T0953s2 - loss: 0.02, correlation: 0.922407
T0951 - loss: 0.04, correlation: 0.327157
T0950 - loss: 0.06, correlation: 0.693349
T1022s1 - loss: 0.02, correlation: 0.949167
T1015s1 - loss: 0.00, correlation: 0.951727
T0973 - loss: 0.03, correlation: 0.729393
T1022s2 - loss: 0.09, correlation: 0.867493
T0974s2 - loss: 0.07, correlation: -0.165716
T0959 - loss: 0.01, correlation: 0.911513
T0958 - loss: 0.05, correlation: 0.734696
T0979 - loss: 0.00, correlation: 0.711430
T0978 - loss: 0.03, correlation: 0.595410
T1017s1 - loss: 0.00, correlation: 0.531348
T1019s2 - loss: 0.00, correlation: 0.446324
T1019s1 - loss: 0.03, correlation: 0.411402
T0974s1 - loss: 0.01, correlation: 0.207064
T1011 - loss: 0.04, correlation: 0.809639
T1010 - loss: 0.00, correlation: 0.962318
T1013 - loss: 0.00, correlation: 0.906060
T1014 - loss: 0.13, correlation: 0.841423
T0961 - loss: 0.00, correlation: 0.576975
T1016 - loss: 0.00, correlation: 0.814767
T0986s1 - loss: 0.01, correlation: 0.980839
T0989 - loss: 0.01, correlation: 0.702997
T0986s2 - loss: 0.00, correlation: 0.853028
T0957s2 - loss: 0.01, correlation: 0.633176
T0957s1 - loss: 0.11, correlation: 0.285472
T0981 - loss: 0.01, correlation: 0.827823
T0980s1 - loss: 0.02, correlation: 0.626564
T0983 - loss: 0.02, correlation: 0.456329
T0984 - loss: 0.01, correlation: 0.094383
T0985 - loss: 0.00, correlation: 0.639992
T0993s1 - loss: 0.00, correlation: 0.777332
T0987 - loss: 0.00, correlation: 0.794055
T0953s1 - loss: 0.00, correlation: 0.366071
T1018 - loss: 0.07, correlation: 0.753411
T0976 - loss: 0.00, correlation: 0.655468
T0949 - loss: 0.03, correlation: 0.929165
T0993s2 - loss: 0.04, correlation: 0.113953
T1020 - loss: 0.01, correlation: 0.716765
T0967 - loss: 0.00, correlation: 0.965013
T0964 - loss: 0.01, correlation: 0.898658
T0965 - loss: 0.06, correlation: 0.908716
T0962 - loss: 0.00, correlation: 0.326422
T0963 - loss: 0.01, correlation: 0.905370
T0960 - loss: 0.04, correlation: 0.858115
T0980s2 - loss: 0.10, correlation: 0.736268
T1021s2 - loss: 0.00, correlation: 0.692145
T1021s3 - loss: 0.00, correlation: 0.860548
T0982 - loss: 0.00, correlation: 0.843363
T0969 - loss: 0.00, correlation: 0.841764
T0966 - loss: 0.05, correlation: 0.430044
T1008 - loss: 0.00, correlation: 0.812800
T1009 - loss: 0.00, correlation: 0.972765
T0968s1 - loss: 0.01, correlation: 0.542502
T1003 - loss: 0.02, correlation: 0.955171
T1000 - loss: 0.00, correlation: 0.852590
T1001 - loss: 0.00, correlation: 0.689124
T1006 - loss: 0.00, correlation: 0.124824
T0977 - loss: 0.00, correlation: 0.983980
T1004 - loss: 0.08, correlation: -0.740073
T1005 - loss: 0.06, correlation: 0.914899
T1002 - loss: 0.02, correlation: 0.786108
T0968s2 - loss: 0.00, correlation: 0.955772
T1017s2 - loss: 0.03, correlation: 0.823986
T0998 - loss: 0.06, correlation: 0.892993
T0997 - loss: 0.05, correlation: -0.400974
T0971 - loss: 0.05, correlation: 0.775902
T0995 - loss: 0.01, correlation: 0.949566
T0992 - loss: 0.14, correlation: 0.781802
T0991 - loss: 0.06, correlation: 0.637466
T0990 - loss: 0.02, correlation: -0.059451
average loss: 0.033069, average correlation: 0.641528
