T0917 - loss: 0.01, correlation: 0.972533
T0915 - loss: 0.26, correlation: 0.672434
T0914 - loss: 0.02, correlation: 0.654344
T0913 - loss: 0.02, correlation: 0.945224
T0912 - loss: 0.00, correlation: 0.859023
T0911 - loss: 0.08, correlation: 0.817095
T0918 - loss: 0.05, correlation: 0.862056
T0944 - loss: 0.00, correlation: 0.955125
T0878 - loss: 0.04, correlation: 0.536440
T0879 - loss: 0.04, correlation: 0.946893
T0923 - loss: 0.01, correlation: 0.489940
T0877 - loss: 0.03, correlation: 0.937368
T0870 - loss: 0.15, correlation: 0.364382
T0869 - loss: 0.16, correlation: 0.600750
T0872 - loss: 0.00, correlation: 0.847950
T0873 - loss: 0.00, correlation: 0.983346
T0947 - loss: 0.00, correlation: 0.840081
T0868 - loss: 0.00, correlation: 0.645812
T0871 - loss: 0.04, correlation: 0.918842
T0881 - loss: 0.07, correlation: 0.810388
T0880 - loss: 0.13, correlation: 0.149180
T0882 - loss: 0.03, correlation: 0.912935
T0885 - loss: 0.00, correlation: 0.869808
T0884 - loss: 0.26, correlation: 0.796166
T0886 - loss: 0.00, correlation: 0.774063
T0889 - loss: 0.04, correlation: 0.972815
T0888 - loss: 0.07, correlation: 0.555193
T0859 - loss: 0.04, correlation: 0.425664
T0900 - loss: 0.17, correlation: 0.702469
T0901 - loss: 0.02, correlation: 0.861431
T0902 - loss: 0.02, correlation: 0.892819
T0903 - loss: 0.14, correlation: 0.893413
T0904 - loss: 0.01, correlation: 0.869731
T0905 - loss: 0.05, correlation: 0.858925
T0909 - loss: 0.00, correlation: 0.873609
T0863 - loss: 0.04, correlation: 0.452232
T0862 - loss: 0.19, correlation: 0.610879
T0928 - loss: 0.10, correlation: 0.875188
T0860 - loss: 0.00, correlation: 0.931498
T0867 - loss: 0.02, correlation: 0.961152
T0866 - loss: 0.02, correlation: 0.776261
T0865 - loss: 0.35, correlation: -0.013708
T0864 - loss: 0.10, correlation: 0.717963
T0922 - loss: 0.02, correlation: 0.730408
T0945 - loss: 0.12, correlation: 0.755243
T0946 - loss: 0.00, correlation: 0.850490
T0921 - loss: 0.04, correlation: 0.963451
T0941 - loss: 0.02, correlation: 0.609592
T0942 - loss: 0.13, correlation: 0.811238
T0943 - loss: 0.01, correlation: 0.924804
T0920 - loss: 0.07, correlation: 0.840212
T0861 - loss: 0.08, correlation: 0.964507
T0892 - loss: 0.05, correlation: 0.646416
T0893 - loss: 0.06, correlation: 0.930756
T0890 - loss: 0.20, correlation: 0.333020
T0891 - loss: 0.12, correlation: 0.977019
T0896 - loss: 0.05, correlation: 0.270718
T0897 - loss: 0.13, correlation: 0.343910
T0894 - loss: 0.00, correlation: 0.817831
T0895 - loss: 0.00, correlation: 0.889124
T0948 - loss: 0.05, correlation: 0.904530
T0898 - loss: 0.09, correlation: 0.668231
T0899 - loss: 0.09, correlation: 0.717231
average loss: 0.065585, average correlation: 0.751245
