T0955 - loss: 0.54, correlation: 0.796060
T0954 - loss: 0.02, correlation: 0.931439
T0975 - loss: 0.01, correlation: 0.890452
T0953s2 - loss: 0.22, correlation: 0.520312
T0977 - loss: 0.01, correlation: 0.913402
T0950 - loss: 0.23, correlation: 0.598897
T1022s1 - loss: 0.07, correlation: 0.785116
T0970 - loss: 0.00, correlation: 0.807755
T0973 - loss: 0.03, correlation: 0.848419
T1022s2 - loss: 0.02, correlation: 0.859811
T0974s2 - loss: 0.12, correlation: 0.956525
T0959 - loss: 0.08, correlation: 0.922409
T0958 - loss: 0.07, correlation: 0.695844
T0979 - loss: 0.30, correlation: 0.714896
T0978 - loss: 0.08, correlation: 0.894770
T1018 - loss: 0.00, correlation: 0.939263
T1017s1 - loss: 0.07, correlation: 0.925741
T0986s1 - loss: 0.00, correlation: 0.842616
T1019s1 - loss: 0.03, correlation: 0.699930
T0974s1 - loss: 0.03, correlation: 0.869820
T1011 - loss: 0.01, correlation: 0.838788
T1010 - loss: 0.30, correlation: 0.276717
T1013 - loss: 0.01, correlation: 0.818113
T1014 - loss: 0.02, correlation: 0.910797
T0961 - loss: 0.00, correlation: 0.956782
T1016 - loss: 0.01, correlation: 0.973931
1 - loss: 0.03, correlation: 0.843334
T0989 - loss: 0.10, correlation: 0.473567
T0986s2 - loss: 0.24, correlation: 0.346913
T0957s2 - loss: 0.18, correlation: 0.810367
T0957s1 - loss: 0.11, correlation: 0.580101
T0981 - loss: 0.13, correlation: 0.372385
T0983 - loss: 0.01, correlation: 0.977270
T0984 - loss: 0.03, correlation: 0.841833
T0993s2 - loss: 0.06, correlation: 0.918304
T0993s1 - loss: 0.01, correlation: 0.964590
T0987 - loss: 0.00, correlation: 0.709618
T1019s2 - loss: 0.00, correlation: 0.895027
T0976 - loss: 0.02, correlation: 0.913576
T1020 - loss: 0.10, correlation: 0.769489
T0964 - loss: 0.00, correlation: 0.658216
T0965 - loss: 0.00, correlation: 0.928230
T0962 - loss: 0.09, correlation: 0.916240
T0960 - loss: 0.03, correlation: 0.810601
T0980s2 - loss: 0.10, correlation: 0.051748
T1021s2 - loss: 0.01, correlation: 0.875777
T1017s2 - loss: 0.00, correlation: 0.804574
T0969 - loss: 0.00, correlation: 0.793095
T0968s1 - loss: 0.46, correlation: 0.795083
T1008 - loss: 0.00, correlation: 0.781640
T1009 - loss: 0.00, correlation: 0.916698
T1002 - loss: 0.07, correlation: 0.650251
T1003 - loss: 0.03, correlation: 0.963635
T1000 - loss: 0.05, correlation: 0.829955
T1001 - loss: 0.01, correlation: 0.815306
T1015s2 - loss: 0.02, correlation: 0.928410
T1004 - loss: 0.04, correlation: 0.875404
T1005 - loss: 0.02, correlation: 0.833159
T0968s2 - loss: 0.00, correlation: 0.811614
T0997 - loss: 0.01, correlation: 0.871292
T0971 - loss: 0.05, correlation: 0.921215
T0995 - loss: 0.01, correlation: 0.975761
T0992 - loss: 0.15, correlation: 0.903587
T0991 - loss: 0.12, correlation: 0.523681
T0990 - loss: 0.01, correlation: 0.499225
average loss: 0.070209, average correlation: 0.789837
