T0917 - loss: 0.01, correlation: 0.962060
T0915 - loss: 0.03, correlation: 0.674674
T0914 - loss: 0.02, correlation: 0.642303
T0913 - loss: 0.01, correlation: 0.928670
T0912 - loss: 0.00, correlation: 0.722015
T0911 - loss: 0.08, correlation: 0.776885
T0918 - loss: 0.05, correlation: 0.862780
T0944 - loss: 0.01, correlation: 0.939699
T0878 - loss: 0.08, correlation: 0.414791
T0879 - loss: 0.04, correlation: 0.958959
T0923 - loss: 0.01, correlation: 0.512607
T0877 - loss: 0.00, correlation: 0.894095
T0870 - loss: 0.15, correlation: 0.187609
T0869 - loss: 0.13, correlation: 0.485178
T0872 - loss: 0.11, correlation: 0.917083
T0873 - loss: 0.03, correlation: 0.976496
T0947 - loss: 0.04, correlation: 0.877325
T0868 - loss: 0.00, correlation: 0.579113
T0871 - loss: 0.04, correlation: 0.897534
T0881 - loss: 0.06, correlation: 0.624480
T0880 - loss: 0.10, correlation: 0.233984
T0882 - loss: 0.03, correlation: 0.807882
T0885 - loss: 0.04, correlation: 0.913750
T0884 - loss: 0.26, correlation: 0.720336
T0886 - loss: 0.00, correlation: 0.797862
T0889 - loss: 0.01, correlation: 0.973403
T0888 - loss: 0.11, correlation: 0.695905
T0859 - loss: 0.04, correlation: 0.370777
T0900 - loss: 0.17, correlation: 0.715384
T0901 - loss: 0.03, correlation: 0.862234
T0902 - loss: 0.06, correlation: 0.905998
T0903 - loss: 0.07, correlation: 0.938882
T0904 - loss: 0.00, correlation: 0.920767
T0905 - loss: 0.05, correlation: 0.795816
T0909 - loss: 0.00, correlation: 0.865095
T0863 - loss: 0.00, correlation: 0.682627
T0862 - loss: 0.29, correlation: 0.423484
T0928 - loss: 0.10, correlation: 0.846645
T0860 - loss: 0.03, correlation: 0.903415
T0867 - loss: 0.02, correlation: 0.971691
T0866 - loss: 0.00, correlation: 0.870935
T0865 - loss: 0.12, correlation: 0.837770
T0864 - loss: 0.10, correlation: 0.764751
T0922 - loss: 0.02, correlation: 0.773878
T0945 - loss: 0.12, correlation: 0.866527
T0946 - loss: 0.05, correlation: 0.898495
T0921 - loss: 0.02, correlation: 0.957148
T0941 - loss: 0.07, correlation: 0.303965
T0942 - loss: 0.12, correlation: 0.838560
T0943 - loss: 0.05, correlation: 0.904203
T0920 - loss: 0.13, correlation: 0.855363
T0861 - loss: 0.07, correlation: 0.954249
T0892 - loss: 0.05, correlation: 0.655963
T0893 - loss: 0.03, correlation: 0.938667
T0890 - loss: 0.20, correlation: 0.352637
T0891 - loss: 0.05, correlation: 0.968221
T0896 - loss: 0.06, correlation: 0.284759
T0897 - loss: 0.14, correlation: 0.473203
T0894 - loss: 0.00, correlation: 0.725984
T0895 - loss: 0.01, correlation: 0.862483
T0948 - loss: 0.03, correlation: 0.902152
T0898 - loss: 0.09, correlation: 0.542726
T0899 - loss: 0.10, correlation: 0.675426
average loss: 0.062389, average correlation: 0.752196
